Subject,Start Date,End Date,Start Time,End Time,Description
K215-イノベーションマネジメント概論,2021/10/23,2021/10/23,09:20:00,17:20:00,講師: 内平
I239-機械学習,2021/10/24,2021/10/24,09:20:00,17:20:00,講師: 岡田(将)・長谷川
K492-アントレプレヌールシップとイノベーション,2021/10/24,2021/10/24,09:20:00,17:20:00,講師: 姜・山本(正)
I416-並列処理,2021/10/24,2021/10/24,13:50:00,17:20:00,講師: 井口
I466-国際標準化概論,2021/10/29,2021/10/29,17:10:00,18:50:00,講師: 大西（祥）
I484F-ロボティクス,2021/10/29,2021/10/29,18:30:00,21:55:00,講師: Chong・Elibol
I211-数理論理学,2021/10/30,2021/10/30,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/10/30,2021/10/30,09:20:00,12:50:00,講師: 吉高
I484F-ロボティクス,2021/10/30,2021/10/30,09:20:00,12:50:00,講師: Chong・Elibol
K492-アントレプレヌールシップとイノベーション,2021/10/30,2021/10/30,09:20:00,17:20:00,講師: 姜
I416-並列処理,2021/10/30,2021/10/30,13:50:00,17:20:00,講師: 井口
I239-機械学習,2021/10/31,2021/10/31,09:20:00,17:20:00,講師: 岡田(将)・長谷川
I416-並列処理,2021/10/31,2021/10/31,09:20:00,12:50:00,講師: 井口
K492-アントレプレヌールシップとイノベーション,2021/10/31,2021/10/31,09:20:00,17:20:00,講師: 姜・山本(正)
K492-アントレプレヌールシップとイノベーション,2021/11/03,2021/11/03,09:20:00,12:50:00,講師: 姜
K623-次世代知識科学特論,2021/11/03,2021/11/03,13:50:00,17:20:00,講師: 藤波
K623-次世代知識科学特論,2021/11/04,2021/11/04,18:30:00,21:55:00,講師: 金井
I466-国際標準化概論,2021/11/05,2021/11/05,17:10:00,18:50:00,講師: 大西（祥）
K623-次世代知識科学特論,2021/11/05,2021/11/05,18:30:00,21:55:00,講師: 日高
I211-数理論理学,2021/11/06,2021/11/06,09:20:00,12:50:00,講師: 小川
